"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US0103076","Auburn city, Alabama","80009","20",
"1600000US0107000","Birmingham city, Alabama","196353","868",
"1600000US0121184","Dothan city, Alabama","70524","678",
"1600000US0135896","Hoover city, Alabama","92427","45",
"1600000US0137000","Huntsville city, Alabama","222363","2301",
"1600000US0150000","Mobile city, Alabama","183282","41",
"1600000US0151000","Montgomery city, Alabama","196986","20",
"1600000US0177256","Tuscaloosa city, Alabama","110598","27",
"1600000US0203000","Anchorage municipality, Alaska","287145","*****",
"1600000US0404720","Avondale city, Arizona","91618","37",
"1600000US0407940","Buckeye city, Arizona","105567","29",
"1600000US0410670","Casas Adobes CDP, Arizona","75513","5229",
"1600000US0412000","Chandler city, Arizona","280684","99",
"1600000US0423620","Flagstaff city, Arizona","75902","28",
"1600000US0427400","Gilbert town, Arizona","275359","67",
"1600000US0427820","Glendale city, Arizona","252141","49",
"1600000US0428380","Goodyear city, Arizona","105404","39",
"1600000US0444410","Maricopa city, Arizona","66287","26",
"1600000US0446000","Mesa city, Arizona","512523","86",
"1600000US0454050","Peoria city, Arizona","197862","44",
"1600000US0455000","Phoenix city, Arizona","1644403","76",
"1600000US0458150","Queen Creek town, Arizona","69345","2928",
"1600000US0464210","San Tan Valley CDP, Arizona","117415","9778",
"1600000US0465000","Scottsdale city, Arizona","243027","100",
"1600000US0471510","Surprise city, Arizona","154194","41",
"1600000US0473000","Tempe city, Arizona","185939","56",
"1600000US0477000","Tucson city, Arizona","546598","95",
"1600000US0485540","Yuma city, Arizona","98517","50",
"1600000US0515190","Conway city, Arkansas","67616","16",
"1600000US0523290","Fayetteville city, Arkansas","99288","32",
"1600000US0524550","Fort Smith city, Arkansas","89981","40",
"1600000US0535710","Jonesboro city, Arkansas","79884","32",
"1600000US0541000","Little Rock city, Arkansas","202851","57",
"1600000US0560410","Rogers city, Arkansas","72996","29",
"1600000US0566080","Springdale city, Arkansas","85844","3028",
"1600000US0600562","Alameda city, California","76039","27",
"1600000US0600884","Alhambra city, California","80264","36",
"1600000US0602000","Anaheim city, California","344462","54",
"1600000US0602252","Antioch city, California","115268","43",
"1600000US0602364","Apple Valley town, California","75856","47",
"1600000US0602553","Arden-Arcade CDP, California","95936","8023",
"1600000US0603526","Bakersfield city, California","410654","58",
"1600000US0603666","Baldwin Park city, California","69450","31",
"1600000US0604982","Bellflower city, California","76405","35",
"1600000US0606000","Berkeley city, California","118942","37",
"1600000US0608142","Brentwood city, California","66120","34",
"1600000US0608786","Buena Park city, California","82451","40",
"1600000US0608954","Burbank city, California","103919","34",
